Adjectives	Nouns
amortized	additions
analyzed	addresses
balanced	algorithm
birthday	analysis
chance	ancestor
child	base case
circular	branches
compiling	chain
complete	children
conditional	compilation
constant	conditionals
contiguous	corpora
data	data
deterministic	descendant
dry-running	documents
dummy	evaluation
dynamic	exponents
efficient	expressions
expected	factorial
exponential	factors
fibonacci	functions
full	heaps
greedy	heights
hashed	implementation
imbalanced	interface
indented	keys
indexed	leaves
internal	levels
inverted	links
iterative	lists
lazy	loop
leaf	nodes
linear	O-notation
linked	operations
log-base	paradoxes
logarithmic	pointers
merged	priorities
nested	programming
parent	programs
perfect	properties
probabilistic	pseudocode
quadratic	query
random	recursion
recursive	removal
rotating	roots
sibling	sentinels
skipped	statements
sorted	structures
square	subtree
sub-linear	tests
supra-linear	trees
terminal	values
timed	variables
unsorted	
worst-case	
